message,label
Win a free iPhone now! Click here to claim your prize,1
Congratulations! You've been selected for a $1000 gift card,1
URGENT: Your account needs verification. Click now to secure it,1
Limited time offer: 50% off on all products. Buy now!,1
Free money transfer! Click here to receive your payment,1
Hey, are we still meeting for lunch tomorrow?,-1
Please review the project proposal before our meeting,-1
The quarterly report is ready for your review,-1
Can you send me the updated schedule for next week?,-1
Let's discuss the new marketing strategy in our next call,-1
